docname,topic,proportion
gpt.txt:656,001,1.0
gpt.txt:691,008,1.0
gpt.txt:25,003,1.0
gpt.txt:60,013,1.0
gpt.txt:95,000,0.427757
gpt.txt:95,001,0.31632
gpt.txt:95,002,0.255924
gpt.txt:130,002,1.0
gpt.txt:165,000,0.427757
gpt.txt:165,001,0.31632
gpt.txt:165,002,0.255924
gpt.txt:200,000,0.427757
gpt.txt:200,001,0.31632
gpt.txt:200,002,0.255924
gpt.txt:235,000,0.427757
gpt.txt:235,001,0.31632
gpt.txt:235,002,0.255924
gpt.txt:270,013,1.0
gpt.txt:305,004,1.0
gpt.txt:340,004,1.0
gpt.txt:361,001,1.0
gpt.txt:396,004,1.0
gpt.txt:431,015,1.0
gpt.txt:466,017,1.0
gpt.txt:501,017,1.0
gpt.txt:536,003,1.0
gpt.txt:571,010,1.0
gpt.txt:606,014,1.0
gpt.txt:641,009,1.0
gpt.txt:676,014,1.0
gpt.txt:32,000,0.427757
gpt.txt:32,001,0.31632
gpt.txt:32,002,0.255924
gpt.txt:67,000,1.0
gpt.txt:102,000,0.427757
gpt.txt:102,001,0.31632
gpt.txt:102,002,0.255924
gpt.txt:137,000,0.427757
gpt.txt:137,001,0.31632
gpt.txt:137,002,0.255924
gpt.txt:172,000,0.427757
gpt.txt:172,001,0.31632
gpt.txt:172,002,0.255924
gpt.txt:207,002,1.0
gpt.txt:242,009,1.0
gpt.txt:277,001,1.0
gpt.txt:312,000,1.0
gpt.txt:347,002,1.0
gpt.txt:368,002,1.0
gpt.txt:403,010,1.0
gpt.txt:438,014,1.0
gpt.txt:473,000,1.0
gpt.txt:508,000,0.427757
gpt.txt:508,001,0.31632
gpt.txt:508,002,0.255924
gpt.txt:543,010,1.0
gpt.txt:578,006,1.0
gpt.txt:613,005,1.0
gpt.txt:648,009,1.0
gpt.txt:683,008,1.0
gpt.txt:20,005,1.0
gpt.txt:55,001,1.0
gpt.txt:90,017,1.0
gpt.txt:125,000,0.427757
gpt.txt:125,001,0.31632
gpt.txt:125,002,0.255924
gpt.txt:160,000,0.427757
gpt.txt:160,001,0.31632
gpt.txt:160,002,0.255924
gpt.txt:195,000,0.427757
gpt.txt:195,001,0.31632
gpt.txt:195,002,0.255924
gpt.txt:230,020,1.0
gpt.txt:265,002,1.0
gpt.txt:300,003,1.0
gpt.txt:335,011,1.0
gpt.txt:356,010,1.0
gpt.txt:391,017,1.0
gpt.txt:426,000,0.427757
gpt.txt:426,001,0.31632
gpt.txt:426,002,0.255924
gpt.txt:461,008,1.0
gpt.txt:496,000,1.0
gpt.txt:531,011,1.0
gpt.txt:566,000,0.427757
gpt.txt:566,001,0.31632
gpt.txt:566,002,0.255924
gpt.txt:601,000,1.0
gpt.txt:636,009,1.0
gpt.txt:671,000,0.427757
gpt.txt:671,001,0.31632
gpt.txt:671,002,0.255924
gpt.txt:14,013,1.0
gpt.txt:49,000,0.427757
gpt.txt:49,001,0.31632
gpt.txt:49,002,0.255924
gpt.txt:84,002,1.0
